#,Team Name,Easy 1,Easy 2,Easy 3,Easy 4,Easy 5,Medium 1,Medium 2,Medium 3,Medium 4,Medium 5,Hard 1,Hard 2,Hard 3,Hard 4,Hard 5,Total score
1,"HoCo Informatics Team
Andrew Chen, Matthew Zhou, Michael Herschbach, Nicholas Li",50,50,50,50,50,100,100,100,100,100,120,150,150,150,150,1470
2,"Runtime Terror
Adham Ibrahim",50,50,50,50,50,100,100,100,80,100,120,150,150,90,150,1390
3,"tyeestrikesback
Rico Qi, Brian Zheng, William Liu, Benji Huh",50,50,50,50,50,100,100,100,100,100,120,150,150,90,120,1380
4,"lettuce
Akshay Shivkumar, Bobby Costin",50,50,50,50,50,100,100,100,100,100,120,150,60,150,150,1380
5,"dank memes
Justin Huang",50,50,50,50,50,100,100,100,80,100,150,150,150,150,0,1330
6,"Yes
Ryan Chen, Joshua Koo, Shaan Keole, Lucas Chen",50,50,50,50,50,100,100,100,100,100,150,60,0,150,150,1260
7,"void
Maggie Liu, Kevin Weng, Wesley Ren, Kai Lum",50,50,50,50,50,100,100,100,100,100,120,0,120,90,150,1230
8,"www.mutorials.org
Allen Wu",50,50,50,50,50,80,100,100,100,20,150,150,120,90,0,1160
9,"XCAMP_Intermediate2
Aiden Ye, Howard Shu, Jiahe Lu, Selena Yang",50,50,50,50,50,100,100,100,80,40,90,60,120,90,120,1150
10,"XCAMP_Int04
Daniel Zhu, Minhe Liu, Wesley Guo, James Lin",50,50,50,50,50,100,100,100,80,0,120,30,150,90,120,1140
11,"XCAMP_Warrior
Ryan Kim, Timothy Yang, Daniel Yang, Celina Li",50,50,50,50,50,100,100,100,80,20,150,60,90,90,0,1040
12,"H2O
H Wang",50,50,50,50,50,100,100,100,80,100,150,0,60,90,0,1030
13,"rockers
suhas palwai, aarush arora, pranav pullabhotla, armanya maheshwari",50,50,50,50,50,100,100,100,80,20,150,0,60,90,60,1010
14,"One Hundo Percent Not FBI
Areeb Gani, Joshua Wang",50,50,50,50,50,100,100,100,80,100,150,60,30,,,970
15,"Programmers Not Found
Ethan Do, Ian Jia, Bohan Yao",50,50,50,50,50,100,100,100,80,100,90,0,120,,,940
16,"CodingIsFun
Bryan Zhu",50,50,50,50,50,100,100,100,80,0,90,0,120,90,,930
17,"BYTES
Benjamin Hu, Yifan Wen",50,50,50,50,50,100,60,100,80,100,90,60,,90,,930
18,"MLDA
Lucas Varotto, Maanav Sikaria, Divij Aswinkumar, Aarna Chowdhary",50,50,50,50,50,100,60,100,80,80,90,60,,90,0,910
19,"XCamp-AloneandSad
Cory Fan, James Xu",50,50,50,40,50,100,100,100,100,20,120,60,,,30,870
20,"XCAMP_Racer
Kevin Jin, Henry Liang, Ethan Pan, Ryan Chin",50,50,10,50,50,100,100,100,80,20,90,0,60,90,,850
21,"XCamp_4People
Max Yang, Kaitlyn Wang, Laurie Jin, Henry Jin",50,50,40,50,50,100,100,100,0,,90,,120,90,,840
22,"XCamp_3
Jerry Wang, Tony Liang, Edward Li, Johnny Zhang",50,50,50,40,50,100,100,100,100,0,120,,60,0,,820
